No,CONVENIO,OPERADOR,DEPARTAMENTO,MUNICIPIO,VEREDA,NOMBRE DE LA ZONA WIFI,DIRECCIÓN,TOTAL APS,CAPACIDAD DE USUARIOS PERMITIDOS,UBICACIÓN,VELOCIDAD DE SUBIDA,VELOCIDAD DE DESCARGA,HORARIO,SERVICIOS
87,413,UNE,RISARALDA,PEREIRA,LA ESTRELLA,LA ESTRELLA-LA PALMILLA,LA ESTRELLA,1,500,(4.73922 -75.782767),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
88,513,UNE,RISARALDA,PEREIRA,LA FLORIDA,LA FLORIDA,PARQUE LA FLORIDA,2,1000,(4.757901 -75.611425),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
89,513,UNE,RISARALDA,PEREIRA,LA FLORIDA,LA FLORIDA-LA BANANERA,LA FLORIDA LA BANANERA ESQUINA,2,1000,(4.774209 -75.635027),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
90,789,UNE,RISARALDA,PEREIRA,LA FLORIDA,EL PORVENIR,EL PORVENIR,2,1000,(4.782901-75.646088),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
91,413,UNE,RISARALDA,PEREIRA,MORELIA,MORELIA,ESTACION DE POLICIA MORELIA,1,500,(4.773365 -75.75891),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
92,513,UNE,RISARALDA,PEREIRA,OLIMPICA,GAMMA II,CANCHA GAMMA II FRENTE COLEGIO LUIS CARLOS GONZALEZ,2,1000,(4.806522 -75.745294),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
93,413,UNE,RISARALDA,PEREIRA,OLIMPICA,OLIMPICA,BELMONTE BAJO - VIA CARTAGO (CERRITOS),1,500,(4.812906 -75.774722),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
94,513,UNE,RISARALDA,PEREIRA,OLIMPICA,VILLA OLIMPICA,VILLA OLIMPICA ENTRE EL SKATE Y PISCINAS,2,1000,(4.807037 -75.752420),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
95,513,UNE,RISARALDA,PEREIRA,ORIENTE,ALFONSO LOPEZ,CANCHA ALFONSO LOPEZ,2,1000,(4.811990 -75.677271),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
96,513,UNE,RISARALDA,PEREIRA,ORIENTE,HERNANDO VELEZ MARULANDA,CANCHA HERNANDO VELEZ,2,1000,(4.812743 -75.680724),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
97,513,UNE,RISARALDA,PEREIRA,ORIENTE,KENNEDY,PARQUE DE KENNEDY,2,1000,(4.807630 -75.672066),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
98,513,UNE,RISARALDA,PEREIRA,ORIENTE,PARQUE NADER,PARQUE CESAR NADER,2,1000,(4.806212 -75.669833),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
99,513,UNE,RISARALDA,PEREIRA,PERLA DEL OTUN,2500 LOTES,VIA PPAL 2500 LTES FRENTE AL COLEGIO,2,1000,(4.797033 -75.733006),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
100,513,UNE,RISARALDA,PEREIRA,PERLA DEL OTUN,BARRIO UNIDOS (B. VILLA MARIA),CASETA COMUNAL BARRIOS UNIDOS,2,1000,(4.794639 -75.728133),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
101,513,UNE,RISARALDA,PEREIRA,PERLA DEL OTUN,VILLA KENNEDY,VILLA KENNEDY CANCHA,2,1000,(4.796946 -75.731793),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
102,513,UNE,RISARALDA,PEREIRA,PUERTO CALDAS,PUERTO CALDAS EL COFRE,PUERTO CALDAS EL COFRE,2,1000,(4.760517 -75.907890),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
103,513,UNE,RISARALDA,PEREIRA,PUERTO CALDAS,PUERTO CALDAS PARQUE LOS ALMENDROS,PUERTO CALDAS PARQUE LOS ALMENDROS,2,1000,(4.760406 -75.901083),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
104,513,UNE,RISARALDA,PEREIRA,PUERTO CALDAS,PUERTO CALDAS SAN ISIDRO,PUERTO CALDAS SAN ISIDRO,2,1000,(4.780847 -75.916174),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
105,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,ALTAVISTA,PARQUE ALTAVISTA,2,1000,(4.794858 -75.743520),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
106,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,EL CARDAL (PORTALES DE BIRMANIA),CANCHAS DEL CARDAL,2,1000,(4.790542 -75.734822),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
107,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,EL RECREO,RECREO PUERTAS DE ALCALA PARQUE,2,1000,(4.792561 -75.741272),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
108,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,GUAYACANES,CASETA COMUNAL GUAYACANES,2,1000,(4.794548 -75.736104),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
109,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,LENINGRADO 2,CALLE 78B CON CARRERA 29 ESQUINA - LENINGRADO 2,2,1000,(4.798934 -75.736333),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
110,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,LENINGRADO III,PARQUE DEL LENINGRADO III,2,1000,(4.797391 -75.738914),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
111,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,PERLA DEL SUR,CANCHA PERLA DEL SUR,2,1000,(4.797036 -75.748487),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
112,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,PORTAL DE SAN JOAQUÃN,PARQUE PORTAL DE SAN JOAQUIN,2,1000,(4.791549 -75.738271),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
